Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,24187,species,Barn Swallow,Hirundo rustica,3,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
2,6699,species,Least Tern,Sternula antillarum,1,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
3,6232,species,Semipalmated Sandpiper,Calidris pusilla,1,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
4,6227,species,Pectoral Sandpiper,Calidris melanotos,1,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
5,6226,species,Least Sandpiper,Calidris minutilla,1,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
6,3492,species,Common Nighthawk,Chordeiles minor,3,Gladeview Rd.,US-FL,02 Aug 2026,L4795535,S379122707,,1
7,5780,species,American Avocet,Recurvirostra americana,7,Riparian Preserve at Gilbert Water Ranch,US-AZ,06 Jun 2026,L144858,S353361204,,1
8,33833,species,Brown-headed Cowbird,Molothrus ater,1,Northsight Park,US-AZ,05 Jun 2026,L999878,S352790290,,1
9,33826,species,Bronzed Cowbird,Molothrus aeneus,3,Northsight Park,US-AZ,05 Jun 2026,L999878,S352790290,,1
10,33344,species,Abert's Towhee,Melozone aberti,1,Northsight Park,US-AZ,05 Jun 2026,L999878,S352790290,,1
11,32609,species,Lesser Goldfinch,Spinus psaltria,7,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
12,29909,species,Phainopepla,Phainopepla nitens,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
13,22269,species,Verdin,Auriparus flaviceps,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
14,17323,species,Ash-throated Flycatcher,Myiarchus cinerascens,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
15,11914,species,Gilded Flicker,Colaptes chrysoides,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
16,4818,species,Costa's Hummingbird,Calypte costae,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
17,4803,species,Black-chinned Hummingbird,Archilochus alexandri,1,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
18,3038,species,Greater Roadrunner,Geococcyx californianus,2,Desert Botanical Garden,US-AZ,01 Jun 2026,L210015,S350908315,,1
19,12744,species,Rosy-faced Lovebird,Agapornis roseicollis,1,Mayo Clinic,US-AZ,18 May 2026,L66211621,S341905570,N,1
20,11176,species,Gila Woodpecker,Melanerpes uropygialis,2,Mayo Clinic,US-AZ,16 May 2026,L66211621,S340512989,,1
21,33864,species,Great-tailed Grackle,Quiscalus mexicanus,1,Mayo Clinic,US-AZ,15 May 2026,L66219320,S339560753,,1
22,27412,species,Cactus Wren,Campylorhynchus brunneicapillus,,Mayo Clinic,US-AZ,15 May 2026,L66219320,S339534844,,1
23,28024,species,Curve-billed Thrasher,Toxostoma curvirostre,,Mayo Clinic,US-AZ,14 May 2026,L66211621,S338960784,,1
24,4814,species,Anna's Hummingbird,Calypte anna,,Mayo Clinic,US-AZ,14 May 2026,L66219320,S339000574,,1
25,32310,species,House Finch,Haemorhous mexicanus,2,Eric and Deb’s,US-AZ,13 May 2026,L66127954,S338554327,,1
26,1105,species,Gambel's Quail,Callipepla gambelii,2,Eric and Deb’s,US-AZ,13 May 2026,L66127954,S338554327,,1
